설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,휴지통종류,관리기관명,관리기관전화번호,데이터기준일자
한성여객종점 버스정류장(11429),서울특별시,노원구,서울특별시 노원구 공릉로62길 41,,37.63747448,127.071637,,일반쓰레기,서울특별시 노원구청,,2025-03-26
대진고등학교 버스정류장(11433),서울특별시,노원구,서울특별시 노원구 한글비석로 98,,37.6375355,127.0727752,,일반쓰레기,서울특별시 노원구청,,2025-03-26
하계시영아파트 버스정류장(11453),서울특별시,노원구,서울특별시 노원구 섬밭로 201,,37.63328542,127.0655211,,일반쓰레기,서울특별시 노원구청,,2025-03-26
인덕대학교 버스정류장(11309),서울특별시,노원구,서울특별시 노원구 월계로49길 5,,37.62931332,127.0562219,,일반쓰레기,서울특별시 노원구청,,2025-03-26
광운대학교 버스정류장(11335),서울특별시,노원구,서울특별시 노원구 광운로 21,,37.61982653,127.0575899,,일반쓰레기,서울특별시 노원구청,,2025-03-26
월계삼호4차아파트 버스정류장(11322),서울특별시,노원구,서울특별시 노원구 마들로 127,,37.62678626,127.0652715,,일반쓰레기,서울특별시 노원구청,,2025-03-26
월계삼호아파트 버스정류장(11320),서울특별시,노원구,서울특별시 노원구 마들로 111,,37.62383436,127.0647781,,일반쓰레기,서울특별시 노원구청,,2025-03-26
서울온천 버스정류장(11435),서울특별시,노원구,서울특별시 노원구 노원로 240,,37.63937196,127.0745259,,일반쓰레기,서울특별시 노원구청,,2025-03-26
청솔아파트 버스정류장(11138),서울특별시,노원구,서울특별시 노원구 노원로1가길 10,,37.62365045,127.0859584,,일반쓰레기,서울특별시 노원구청,,2025-03-26
서울과학기술대앞 버스정류장(11418),서울특별시,노원구,서울특별시 노원구 공릉로 232,,37.63307893,127.0767947,,일반쓰레기,서울특별시 노원구청,,2025-03-26
두산힐스빌아파트 버스정류장(11131),서울특별시,노원구,서울특별시 노원구 공릉로 130,,37.62162319,127.0793373,,일반쓰레기,서울특별시 노원구청,,2025-03-26
노원문화원 버스정류장(11166),서울특별시,노원구,서울특별시 노원구 동일로191가길 59,,37.62766279,127.0696059,,일반쓰레기,서울특별시 노원구청,,2025-03-26
노원문화원 버스정류장(11167),서울특별시,노원구,서울특별시 노원구 동일로197길 24,,37.62879899,127.0698009,,일반쓰레기,서울특별시 노원구청,,2025-03-26
공릉대동2차아파트 버스정류장(11165),서울특별시,노원구,서울특별시 노원구 동일로191가길 37,,37.62672338,127.0707244,,일반쓰레기,서울특별시 노원구청,,2025-03-26
공릉대아2차아파트 버스정류장(11111),서울특별시,노원구,서울특별시 노원구 동일로183길 34,,37.62328229,127.0713893,,일반쓰레기,서울특별시 노원구청,,2025-03-26
공릉초등학교 버스정류장(11901),서울특별시,노원구,서울특별시 노원구 섬밭로 17,,37.61843007,127.0723471,,일반쓰레기,서울특별시 노원구청,,2025-03-26
화랑대사거리 버스정류장(11141),서울특별시,노원구,서울특별시 노원구 화랑로51길 17,,37.62307787,127.0893658,,일반쓰레기,서울특별시 노원구청,,2025-03-26
화랑대사거리 버스정류장(11140),서울특별시,노원구,서울특별시 노원구 화랑로 556,,37.62128774,127.0877533,,일반쓰레기,서울특별시 노원구청,,2025-03-26
서울여대.육군사관학교행정안내소 버스정류장(11144),서울특별시,노원구,서울특별시 노원구 화랑로 621,,37.62878266,127.0889915,,일반쓰레기,서울특별시 노원구청,,2025-03-26
서울여대.육군사관학교행정안내소 버스정류장(11145),서울특별시,노원구,서울특별시 노원구 화랑로 621,,37.62878266,127.0889915,,일반쓰레기,서울특별시 노원구청,,2025-03-26
태릉국제사격장 버스정류장(11147),서울특별시,노원구,서울특별시 노원구 화랑로 653,,37.62961285,127.0950867,,일반쓰레기,서울특별시 노원구청,,2025-03-26
태릉국제사격장 버스정류장(11146),서울특별시,노원구,서울특별시 노원구 화랑로 682,,37.62973006,127.0979586,,일반쓰레기,서울특별시 노원구청,,2025-03-26
태릉 버스정류장(11148),서울특별시,노원구,서울특별시 노원구 화랑로 682,,37.62973006,127.0979586,,일반쓰레기,서울특별시 노원구청,,2025-03-26
태릉선수촌 버스정류장(11150),서울특별시,노원구,서울특별시 노원구 화랑로 653,,37.62961285,127.0950867,,일반쓰레기,서울특별시 노원구청,,2025-03-26
한국스포츠정책과학원 버스정류장(11152),서울특별시,노원구,서울특별시 노원구 화랑로 768,,37.63600845,127.1068283,,일반쓰레기,서울특별시 노원구청,,2025-03-26
삼육대앞 버스정류장(11155),서울특별시,노원구,서울특별시 노원구 화랑로 815,,37.64335737,127.1088503,,일반쓰레기,서울특별시 노원구청,,2025-03-26
삼육대앞 버스정류장(11154),서울특별시,노원구,서울특별시 노원구 화랑로 815,,37.64335737,127.1088503,,일반쓰레기,서울특별시 노원구청,,2025-03-26
